PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
0.07982286239110131,-1.9833725843635146,-0.08540803434224117,-1.8793061680726093,1.1770849991698393,-2.5214611129261706,-0.43097381932330936,-1.4511452482281406,0.7433781641306828,0.43497027679697375,-0.30201625314821856,0.38812241385744434,-1.2409442393623045,-0.10517751032961256,0.10982868958127735,0.9630196297188295,-0.5438127367773706
-2.0843153332442297,0.8043999983867576,1.778944522196024,0.3639370345996408,-0.38501211207874014,0.6595006470608133,-0.027994505834712004,0.9280297855715177,-0.5518170868523536,-0.39110038718041895,-0.9409228845365055,0.6674982467050231,1.0093215185190043,0.03306292134780909,1.5961878762841366,-0.27924438579841915,1.1346219577519614
-1.6528817715267219,0.6057254212096153,1.089700951199309,-0.6459254592622812,0.03158966638101641,-0.06678359054113438,-1.3271422178458918,0.24358513291623998,-0.29482886154924004,1.1046036542593174,-1.0277532470502375,-0.5540510463107028,0.6727212719630045,1.1324647481015355,0.6316419449009556,-0.2170949655542743,-0.41789857023814014
1.7531182733051471,1.1452768407422058,-1.2816461723201784,-0.25307640115639585,-0.1726884776500378,1.2485693504656525,-0.7732812893877129,0.28222934028229407,0.3705049223707395,-0.18717282639375749,1.3073421727769559,0.7516518240442502,0.28391611904045816,0.5289382596238267,0.74962415571247,-0.031800332763644655,0.5644359723599849
0.634062866345943,0.19858228797949093,-0.24223831097083945,-0.7910457761811354,-0.9498971778301344,-0.19385928239393935,-2.619104658418451,0.636567956255016,0.3557323643577126,-1.6558335812832408,0.6081740348173664,-0.793313396863379,0.46514553946391046,0.9980647801379153,-0.35647119899604884,-0.8197225050978827,-0.19106448835414624
-2.2895565691454682,-1.75177842332499,-1.8559890475927487,-0.05739159248401108,0.34863597855496203,2.092230243609071,1.5987359584509848,0.18062592080761708,0.25001397835336037,-0.4826220178840527,-0.3429091363629862,0.5720019124167985,0.4771930831854211,0.8693291526605705,0.2755834495111251,-0.23887199201328876,-0.11016487660755485
0.21188738692767004,1.5379106967474085,-0.7729691739561707,0.06521876485317589,1.1037815499562447,-0.4561752636280102,-2.733946068143633,0.1825210794779826,0.22801606653441261,0.6352790889539967,1.73058032516565,0.9101063030193615,-0.19924775422812824,1.072643584880377,-0.7762737794114145,0.8074546340628775,-0.464968991323539
-1.9610108292654722,3.2237799682478,1.725769385887736,-1.9142349768972526,-0.7590642449770661,-0.42998576648392406,1.1046959939753658,1.1248549702442696,-0.8977616345806042,-0.0821533750233328,1.014114365471319,-0.5592875809297732,-1.6309023087203134,-0.9192862630051991,0.9204352165633292,-0.558502030753896,0.5989184513636745
-0.8671751493739538,-3.9057896153393856,-2.166880478377308,0.3511160515087838,0.11297612417286929,1.9946410965406902,0.7544708218890875,-0.24719860987180126,0.5411021775610593,-0.8538788634681871,-0.7793426994854781,2.6974656359838654,-0.02059391993239016,0.29873749772725566,-0.590127535133655,0.288194431826692,-0.2867150179955408
-2.364265062641916,0.9513744757469589,-1.500413971135536,0.9830160945963242,0.0026110183765197734,-1.401494000453634,-0.02462890817429539,-0.36983550838133056,-0.5208709950427387,0.4669591901031259,-0.12141650822455266,-1.2636769078601104,0.21679955728688582,-0.9351091033501867,-1.227913324234904,-0.2783017357759533,-0.3567900971609419
